OBJECTID,ZIP_CODE,PO_NAME,STATE,POPULATION,POP_SQMI,SQMI,Shape_Leng,Shape_Area,Zip,Office_Zip,Count,Attys_perThousand,popup
"15570","50001",Ackworth,IA,"612",21.29,28.75,0.721781644049,0.00801264085836,"50001","50001","1",1.634,"<br />KELLER, PETER ANDREW<br />"
"15571","50002",Adair,IA,"1233",11.58,106.5,1.01396875398,0.0297528024266,"50002","50002","3",2.433,"<br />FISHER, JOHN WILLIAM<br />FISHER, MARTIN LOUIS<br />GROETKEN, TRENT JOHN<br />"
"15572","50003",Adel,IA,"8268",70.85,116.7,1.09524582139,0.0326499077914,"50003","50003","28",3.387,"<br />BAUER, JODY KERSTEN<br />BERGKAMP, JAMES L. JR.<br />CAVE, SUSANNA MARIE<br />CLARK, ERICA W.<br />COBB, VIRGINIA<br />COOPER, STEVEN LEE<br />DOLL, ADAM<br />EASON, TYLER LEE<br />FISHMAN, EDWARD SAMUEL<br />FORSELL, RONALD CARL<br />HEFNER, RANDY V.<br />HEMPHILL, MATTHEW JAMES<br />HULSE, GREGORY A.<br />JENNINGS, BRYAN RALPH<br />JOHNSON, CHAD ALLEN<br />KIMPLE, JONATHAN MARK<br />MC CLURE, KARA LYNN<br />MC KIBBIN, NOEL<br />MURPHY, THOMAS PATRICK<br />PARKER, BLAKE<br />PARKER, JUDD JOHNSON<br />REISETTER, WAYNE M.<br />RITCHIE, JEANNINE R.<br />RITCHIE, STACY L.<br />SCHAUER, DONNA M.<br />SINNARD, CHARLES<br />VAN WERDEN, JAMES E.<br />VER HEUL, ANN MARTIN<br />"
"15573","50005",Albion,IA,"726",28.54,25.44,0.636438796921,0.00717428807676,"50005",,"0",0,No attorneys found for this zip code
"15574","50006",Alden,IA,"1828",14.83,123.28,1.04597630829,0.0349748394241,"50006",,"0",0,No attorneys found for this zip code
"15575","50007",Alleman,IA,"577",92.62,6.23,0.213280735793,0.00174776535246,"50007",,"0",0,No attorneys found for this zip code
"15576","50008",Allerton,IA,"904",10.48,86.25,1.186745594,0.0237943707875,"50008",,"0",0,No attorneys found for this zip code
"15577","50009",Altoona,IA,"20394",712.58,28.62,0.548530716038,0.00801167710602,"50009","50009","14",0.686,"<br />BAILEY, NICHOLAS ALAN<br />BALL, LARRY L. JR.<br />BORSETH, ERIC GILBERT<br />DAUT, ALAN M.<br />GUYER, STEVEN C.<br />HUSER, GERI D.<br />JOHNSON, DEBORAH LYNN<br />KELLER, MEEGAN MICHELLE<br />KRANTZ, MATTHEW J.<br />MILLER, ANNETTE<br />PHELAN, TYLER<br />SKINNER, R. BRADLEY<br />VINCENT, MOLLY JAN<br />WRIGHT, CAMERON KEITH<br />"
"15578","50010",Ames,IA,"29442",490.45,60.03,0.890004457441,0.0169023680426,"50010","50010","81",2.751,"<br />BARKER, BRYAN JOY<br />BARTEN, JOANN LOIS<br />BEACH, HANNAH MARIE<br />BENSON, DAVID WENDELL<br />BERNARD, AARON DAVID<br />BICKEL, BRUCE PHILLIP<br />BLINK, STACEY C<br />BOETTGER, ANDREW JOHN<br />BROWN, BRETT LAURENCE<br />BURNS - THOMPSON, ELIZABETH A.<br />CARDENAS CRUZ, ALEXANDER GABRIEL<br />CHANG, JANE<br />CLARK, BARBARA JEAN HANSON<br />CLAUSEN, CHRISTOPHER A.<br />COY, JONATHAN ALAN<br />DIRKS, JOHN LOWELL<br />EIDE, ERIC JOSEPH<br />EUBANK, MAXIMILIAN LUCAS<br />FACIO, NICOLE S.<br />FEILMEYER, FRANKLIN J.<br />FEILMEYER, VICTORIA ANNE<br />FLOYD NIELSEN, TRISHA ANN<br />FORMAKER, ROBIN GLENN<br />GARTIN, TIMOTHY L.<br />GILES, MATTHEW DAVID<br />GOODWIN, ROBERT W.<br />GORHAM, DAVID S.<br />GREEN, NATE J.<br />GROVE, LADDIE E.<br />HAALAND, RYAN L.<br />HARRIS, EMILY ELIZABETH<br />HASSID, AMANDA<br />HENRY, JESSICA LEONA<br />HOSTETTER, NATHAN DEAN<br />HOUGHTON, DOUGLAS MATTHEW<br />HUMKE, BRIAN JOHN<br />HUSS, ROBYN CHRISTINE<br />JOHNS, DONNA EMILY<br />JOHNSON, KRISTIN H.<br />JOHNSON, SHAWNA M<br />KAPPELMAN, WES<br />LAMBERT, MARK O.<br />LANTZ, MEGAN ANNE<br />LYON, KATE R.<br />MATASOVIC, DANIELA<br />MATCHAN, BENJAMIN DAVID<br />MAUK, MATTHEW ALAN<br />MEERSMAN, BENJAMIN LOUIS<br />MEREDITH, TIFFANY LYNNE<br />MOSS, MICHAEL J.<br />NORTON, MICHAEL EDWIN<br />NUTTY, WILLIAM STEVEN<br />OSTEBEE, MYRON ALAN<br />PETERS, PATRICK CHARLES<br />POWERS, BRADLEY JAMES<br />RABE, MICHELLE ELIZABETH<br />REISINGER, REBECCA ANN<br />RHODES, MARGARET M.<br />RICHARDSON, LUCAS JAMES<br />ROSENBERG, RALPH<br />SCHNEIDER, CHAD E.<br />SCHROEDER, JONATHON  LOREN<br />SIEVERS, KIMBERLY ANN<br />SIRNA, MARY HOWELL<br />SMITH, SHAWN<br />STARR, TRAVIS LYLE<br />TALBOT, WILLIAM TULLY<br />TERRILL, STEPHEN M.<br />TERRONES, BARRIE JOSEPH<br />THOMAS, ANGELINA M.<br />THORNTON, JAMES WILLIAM<br />TILLO, JOHN ANDREW<br />TIMBERLAND, JAMES EMERSON<br />TORRESI, BRIAN DAVID<br />TOWNLEY, DEENA ANN<br />TUNGESVIK, DANIEL JON<br />VAN WYNGARDEN, LYNNETTE JOY<br />VOSS-ORR, KIMBERLY ANN<br />WHITE, B. JOAN<br />ZAFFARANO, DARIO DRAYTON<br />ZBARACKI, ANDREW JOHN<br />"
"15579","50011",Ames,IA,"548",602.2,0.91,0.103877977499,0.000257000267585,"50011","50011","6",10.949,"<br />CLINGAN-FISCHER, DEANNA G.<br />DEANGELO, PAULA KAY<br />JOHNSON, PAUL E.<br />LITTLE, ANDREA KAY<br />SMITH, HEATHER JEAN<br />TOVAR, KATHERINE WILKEN<br />"
"15580","50012",Ames,IA,"3875",96875,0.04,0.0137374941195,1.11763128151e-05,"50012",,"0",0,No attorneys found for this zip code
"15581","50013",Ames,IA,"3454",115133.33,0.03,0.0166646223972,7.40211233515e-06,"50013",,"0",0,No attorneys found for this zip code
"15582","50014",Ames,IA,"33276",620.82,53.6,0.79680786707,0.0150949201011,"50014","50014","7",0.21,"<br />CARABILLO, LAURA E.<br />GRAUERHOLZ, JAYNA DEE PETERSON<br />HOWELL, STEPHEN J.<br />LEVINE, MICHAEL AARON<br />MOSLEY, MERLAINE<br />ORRIS, KYLE MATTHEW<br />PAPE, NICOLE MARIE<br />"
"15583","50020",Anita,IA,"1370",15.41,88.9,1.05815730772,0.0248044029334,"50020","50020","2",1.46,"<br />MAILANDER, JAMES W.<br />MAILANDER, KAREN LESLIE<br />"
